,R,SA
406,0.406,25093264.29944712
407,0.40700000000000003,25025107.66942212
408,0.40800000000000003,24956895.71194139
409,0.40900000000000003,24888629.132457234
410,0.41000000000000003,24820308.63642192
411,0.41100000000000003,24751934.929287735
412,0.41200000000000003,24683508.716506965
413,0.41300000000000003,24615030.703531895
414,0.41400000000000003,24546501.59581481
415,0.41500000000000004,24477922.09871775
416,0.41600000000000004,24409292.91146708
417,0.417,24340614.723339267
418,0.418,24271888.222701326
419,0.419,24203114.09792031
420,0.42,24134293.037363227
421,0.421,24065425.729397118
422,0.422,23996512.862389002
423,0.423,23927555.124705918
424,0.424,23858553.204714887
425,0.425,23789507.79078295
426,0.426,23720419.571277115
427,0.427,23651289.234564427
428,0.428,23582117.469011907
429,0.429,23512904.96298659
430,0.43,23443652.40485551
431,0.431,23374360.482985683
432,0.432,23305029.885744147
433,0.433,23235661.301497925
434,0.434,23166255.418614052
435,0.435,23096812.92477226
436,0.436,23027334.496021062
437,0.437,22957820.798711967
438,0.438,22888272.498900022
439,0.439,22818690.26264028
440,0.44,22749074.75598779
441,0.441,22679426.64499759
442,0.442,22609746.59572475
443,0.443,22540035.274224304
444,0.444,22470293.34655131
445,0.445,22400521.478760816
446,0.446,22330720.33690787
447,0.447,22260890.587047532
448,0.448,22191032.89523484
449,0.449,22121147.927524857
450,0.45,22051236.349972624
451,0.451,21981298.828633185
452,0.452,21911336.02956161
453,0.453,21841348.61881293
454,0.454,21771337.26244221
455,0.455,21701302.623976603
456,0.456,21631245.34956928
457,0.457,21561166.078070436
458,0.458,21491065.44830502
459,0.459,21420944.099097975
460,0.46,21350802.669274237
461,0.461,21280641.797658764
462,0.462,21210462.12307649
463,0.463,21140264.284352373
464,0.464,21070048.920311347
465,0.465,20999816.669778362
466,0.466,20929568.17157835
467,0.467,20859304.06453627
468,0.468,20789024.987477064
469,0.46900000000000003,20718731.57922568
470,0.47000000000000003,20648424.47860705
471,0.47100000000000003,20578104.324446127
472,0.47200000000000003,20507771.75556785
473,0.47300000000000003,20437427.410797175
474,0.47400000000000003,20367071.92895672
475,0.47500000000000003,20296705.94227674
476,0.47600000000000003,20226330.061963893
477,0.47700000000000004,20155944.89504305
478,0.47800000000000004,20085551.048539054
479,0.47900000000000004,20015149.129476756
480,0.48,19944739.74488102
481,0.481,19874323.501776684
482,0.482,19803901.007188614
483,0.483,19733472.86814166
484,0.484,19663039.691660676
485,0.485,19592602.08477051
486,0.486,19522160.65449603
487,0.487,19451716.007862065
488,0.488,19381268.751893498
489,0.489,19310819.49361516
490,0.49,19240368.84005191
491,0.491,19169917.398228616
492,0.492,19099465.775170114
493,0.493,19029014.57790126
494,0.494,18958564.413233086
495,0.495,18888115.874748576
496,0.496,18817669.535294756
497,0.497,18747225.965907436
498,0.498,18676785.737622436
499,0.499,18606349.421475567
500,0.5,18535917.58850265
501,0.501,18465490.80973951
502,0.502,18395069.65622196
503,0.503,18324654.69898582
504,0.504,18254246.509066895
505,0.505,18183845.657501016
506,0.506,18113452.715324003
507,0.507,18043068.253571663
508,0.508,17972692.84327982
509,0.509,17902327.055484287
510,0.51,17831971.46122089
511,0.511,17761626.631525442
512,0.512,17691293.137433756
513,0.513,17620971.549981657
514,0.514,17550662.43889635
515,0.515,17480366.352881107
516,0.516,17410083.82368356
517,0.517,17339815.38256817
518,0.518,17269561.560799405
519,0.519,17199322.88964173
520,0.52,17129099.900359612
521,0.521,17058893.124217533
522,0.522,16988703.092479944
523,0.523,16918530.33641133
524,0.524,16848375.38727615
525,0.525,16778238.776338875
526,0.526,16708121.034863975
527,0.527,16638022.694115914
528,0.528,16567944.285359163
529,0.529,16497886.339858195
530,0.53,16427849.38887747
531,0.531,16357833.963681465
532,0.532,16287840.595534643
533,0.533,16217869.815701474
534,0.534,16147922.151254911
535,0.535,16077998.101586917
536,0.536,16008098.154864788
537,0.537,15938222.79922379
538,0.538,15868372.522799183
539,0.539,15798547.813726239
540,0.54,15728749.160140218
541,0.541,15658977.050176391
542,0.542,15589231.971970018
543,0.543,15519514.413656369
544,0.544,15449824.863370707
545,0.545,15380163.809248302
546,0.546,15310531.73942441
547,0.547,15240929.142034307
548,0.548,15171356.505213255
549,0.549,15101814.317096516
550,0.55,15032303.06581936
551,0.551,14962823.239517048
552,0.552,14893375.32632485
553,0.553,14823959.814372696
554,0.554,14754577.181909924
555,0.555,14685227.876829507
556,0.556,14615912.341213785
557,0.557,14546631.017145097
558,0.558,14477384.346705796
559,0.559,14408172.771978226
560,0.56,14338996.735044725
561,0.561,14269856.677987646
562,0.562,14200753.042889325
563,0.5630000000000001,14131686.271832118
564,0.5640000000000001,14062656.80689836
565,0.5650000000000001,13993665.0901704
566,0.5660000000000001,13924711.563730577
567,0.5670000000000001,13855796.669661248
568,0.5680000000000001,13786920.850044746
569,0.5690000000000001,13718084.546963422
570,0.5700000000000001,13649288.202499613
571,0.5710000000000001,13580532.258735681
572,0.5720000000000001,13511817.157753952
573,0.5730000000000001,13443143.341313802
574,0.5740000000000001,13374511.232923485
575,0.5750000000000001,13305921.22843176
576,0.5760000000000001,13237373.721380224
577,0.577,13168869.10531046
578,0.578,13100407.773764042
579,0.579,13031990.12028255
580,0.58,12963616.538407573
581,0.581,12895287.42168069
582,0.582,12827003.163643492
583,0.583,12758764.157837551
584,0.584,12690570.797804454
585,0.585,12622423.477085786
586,0.586,12554322.589223128
587,0.587,12486268.527758054
588,0.588,12418261.686232159
589,0.589,12350302.458187021
590,0.59,12282391.23716422
591,0.591,12214528.41670534
592,0.592,12146714.390351964
593,0.593,12078949.549869798
594,0.594,12011234.259911917
595,0.595,11943568.863980247
596,0.596,11875953.7050162
597,0.597,11808389.125961216
598,0.598,11740875.469756722
599,0.599,11673413.079344133
600,0.6,11606002.297664884
601,0.601,11538643.467660403
602,0.602,11471336.932272108
603,0.603,11404083.034441434
604,0.604,11336882.117109805
605,0.605,11269734.523218647
606,0.606,11202640.595709387
